Tem_extent,N_TFlossR_2kiw,N_TFlossR_2ktw,N_TFlossR_2kmw,TFResident_lossR,TFDaynight_lossR,TFPRM_lossR,TFAB2k_NOR,TFAB5k_NOR,TFABC_NOR
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.0710980120670784
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.069764377849201
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.068887748383904
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.0675696725670846
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.0667802608385079
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.0649708759585319
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.0644686688764695
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.063451422808409
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.0628061835199395
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.0624602630474573
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.0617507381649512
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.0614738406611013
1,0.0,-0.495673968710641,-0.517241379310345,,-1.0,,1.0,1.0,0.0610695843645983
1,0.0,-0.495673968710641,-0.511945392491468,,-1.0,,0.997149613479708,0.997108360533632,0.0607512940431576
1,0.0,-0.495673968710641,-0.47972972972973,,-1.0,,0.994406000337038,0.99436663028019,0.0602143276453309
1,0.0,-0.495673968710641,-0.474747474747475,,-1.0,,0.990636718333065,0.99065872561173,0.0601019790171796
1,0.0,-0.495673968710641,-0.469387755102041,,-1.0,,0.988106672015371,0.98826144323389,0.0596511736532435
1,0.0,-0.50344989529293,-0.464406779661017,,-1.0,,0.98436655804375,0.984840848176781,0.0589871175915743
1,0.0,-0.526320508014714,-0.462837837837838,,-1.0,,0.979027489775298,0.979886773444562,0.059282082014814
1,0.0,-0.515583245407303,-0.45,,-1.0,,0.956151003832895,0.970363950172657,0.0856962748250953
1,0.0,-0.482759656631112,-0.421768707482993,,-1.0,,0.922162283717868,0.955585870499557,0.0823007839867601
1,0.0,-0.471942444059779,-0.397212543554007,,-1.0,,0.9083503597541,0.95045922727083,0.0815635650147061
1,0.0,-0.419760794897981,-0.393835616438356,,-1.0,,0.893057216082429,0.94528933323294,0.0805825905794876
1,0.0,-0.439888954266877,-0.41747572815534,,-1.0,,0.873890232139566,0.938975649216634,0.07996437634084
1,0.0,-0.398139948156636,-0.382445141065831,0.0,-0.908602150537634,0.0,0.85265400683367,0.93248408674279,0.0793707383592813
1,0.0,-0.412128926955737,-0.365384615384615,0.0,-0.908602150537634,0.0,0.822796210744541,0.925017384362199,0.0779450204543856
1,0.0,-0.375576736201352,-0.365930599369085,0.0,-0.908602150537634,0.0,0.781920884118632,0.914067825610771,0.0785477809450479
