pca_component_1,pca_component_2
-1.0886106004797627,-1.446686590119034
-1.1950455342514499,-1.5007259071224914
-1.1950455342514499,-1.5007259071224914
-1.0886092637514484,-1.446686839728833
-1.1950455342514499,-1.5007259071224914
-1.1950455342514499,-1.5007259071224914
-1.088159151926982,-1.4467512814211219
-1.0881611716025674,-1.446750884312977
-1.088161510904588,-1.4467508417847224
-1.0881530568861777,-1.446752051549279
-1.088153135099169,-1.446752034208076
-1.0881512085382152,-1.4467523573333427
-1.0881512085183416,-1.4467523602410675
-1.088148532267515,-1.4467526989964175
-1.088148562872398,-1.446752694915531
-1.088148079078026,-1.4467528395902636
-1.0881440506086464,-1.446753371594895
-1.1950455342514499,-1.5007259071224914
-0.95925402093632,-1.3955999174813196
-0.9592541605374484,-1.395599882500217
-0.9592538825919686,-1.3955999521475007
-0.9592531930371988,-1.3956001132372156
-0.9592530420484299,-1.3956001164287164
-1.1950455342514499,-1.5007259071224914
-1.0881465801408954,-1.446752972117764
-1.0881490634195927,-1.4467526312909305
-1.0881516498896606,-1.4467522556829007
-1.088152651068526,-1.4467521034651196
-1.0881525529212837,-1.4467521258885896
-1.08815477471662,-1.446751806895693
-1.1950455342514499,-1.5007259071224914
-1.1950455342514499,-1.5007259071224914
-1.0886105153517696,-1.4466865879602753
-1.0886107336299078,-1.446686559177234
-1.088609624213166,-1.446686755199516
-1.088610546621884,-1.4466865706135437
-1.0886101911557662,-1.4466866367966071
-1.0886099674460261,-1.4466867062526905
-1.088610461619366,-1.4466865980975918
-1.0886104816586106,-1.4466865952302965
-1.0886107336299078,-1.446686559177234
-1.1950455342514499,-1.5007259071224914
-1.088288293751418,-1.4467327417930442
-1.0882785882926838,-1.4467340913768645
-1.0882719512420505,-1.4467350407627078
-1.088266036863128,-1.4467358797714231
-0.9588440971951032,-1.3956591570623618
-0.9588392508832078,-1.3956599057176442
-0.9588329698732375,-1.3956607655141866
-0.9588259567727911,-1.3956617947172791
-0.9588154322378915,-1.3956633151768103
-0.9588109919974497,-1.3956639424110944
-0.9588063111517112,-1.3956646621928508
-0.958801864752906,-1.3956653043619556
-0.9587958800165683,-1.395666167592066
-1.0880997340761118,-1.446759683325363
-1.0880973581058715,-1.4467600150037105
-1.0880964295989937,-1.4467601478581942
-1.088095961326364,-1.4467602148605176
-1.0880943008445028,-1.4467604524489142
-1.0880928406488368,-1.446760675130407
-1.0880887511228605,-1.4467612568879398
-1.0880880554981782,-1.4467613581007432
-1.0880881152118713,-1.4467613375140096
-1.0880864402474564,-1.4467615771746278
-1.0880822016316152,-1.446762198723865
-1.0880786318695594,-1.4467626944286165
-1.088078120009016,-1.4467627676676733
-1.0880761695763246,-1.4467630467433958
-1.088074501948274,-1.4467632853542978
-1.0880739939308965,-1.4467633580434591
-0.9586298581917205,-1.3956901593095492
-1.08808111644274,-1.4467623837148516
-1.0880824833269827,-1.44676214334666
-1.0886096972531167,-1.4466867475748668
-1.0886107336299078,-1.446686559177234
-1.0886105735855633,-1.4466865963687827
-1.0886106513369123,-1.4466865783007088
-1.0886104041322642,-1.4466866063230766
-1.0886106318447706,-1.4466865503906907
-1.0886097502482308,-1.4466867390847424
-1.0886101315266097,-1.4466866417240356
-1.0886106419054433,-1.4466865804924196
-1.088610250006214,-1.446686672066851
-1.1950455342514499,-1.5007259071224914
-1.0886104744273224,-1.4466865748091657
-1.1950455342514499,-1.5007259071224914
-1.0880805617219371,-1.4467624716102887
-1.088081627597238,-1.4467622657878998
-1.0886101352378872,-1.4466866988565898
-1.0886102916383407,-1.4466866319252
-1.088610651089716,-1.4466865520519996
-1.0886100204880944,-1.4466867256420022
-1.0886104434947335,-1.4466865721429358
-1.0886106499904717,-1.4466865786135983
-1.0886105832439323,-1.446686566049084
-1.1950455342514499,-1.5007259071224914
-1.088610498415692,-1.4466865388725025
-1.0886107336299078,-1.446686559177234
-1.088610064073636,-1.4466866972970633
-1.0886103804867766,-1.4466866153311402
-1.0886107336299078,-1.446686559177234
-1.0886103705202828,-1.4466866170679835
-1.0886106099781359,-1.4466865879117756
-1.088609580839339,-1.4466868282667913
-1.1950455342514499,-1.5007259071224914
-1.1950455342514499,-1.5007259071224914
-1.0886106185208713,-1.4466865492405128
-1.088610342704888,-1.4466866151123519
-1.1950455342514499,-1.5007259071224914
-1.1950455342514499,-1.5007259071224914
-1.0886106487249076,-1.4466865518478589
-1.0886102604796604,-1.4466866696220921
-1.0886106540132927,-1.4466865523043757
-1.1950455342514499,-1.5007259071224914
-1.1950455342514499,-1.5007259071224914
-0.9592535104954326,-1.3955999942100321
-1.1950455342514499,-1.5007259071224914
-1.0882812486621496,-1.446733711619367
-1.0886098873953558,-1.4466867180816698
-1.1950455342514499,-1.5007259071224914
-1.1950455342514499,-1.5007259071224914
-1.0886106465152265,-1.4466865516571095
