N_PFlossR_2kiw,N_PFlossR_2ktw,N_PFlossR_2kmw,PFResident_lossR,PFDaynight_lossR,PFAB5k_NOR,PFABC_NOR
,-0.604488168416725,-0.904761904761905,,,0.532480826382314,0.0099671082947084
,-0.604488168416725,-0.904761904761905,,,0.536935087951361,0.0103638698292915
,-0.604488168416725,-0.904761904761905,,,0.543330974267082,0.0110133542562954
,-0.604488168416725,-0.904761904761905,,,0.559812390350529,0.0128988157172446
,-0.604488168416725,-0.904761904761905,,,0.570470725014691,0.0146583224994331
,-0.524691775069129,-0.904761904761905,,,0.582125133020225,0.017020607937711
,-0.524691775069129,-0.904761904761905,,,0.590913362473383,0.0192896694054259
,-0.524691775069129,-0.904761904761905,,,0.595850509885553,0.0208794279931274
-1.0,-0.284965704741348,-0.556561085972851,0.0,0.0,0.0763403961191102,0.0034490060354671
-1.0,-0.284965704741348,-0.546583850931677,0.0,0.0,0.122627236952711,0.003736651638915
-1.0,-0.284965704741348,-0.531400966183575,0.0,0.0,0.210486056164841,0.0038191718144297
-1.0,-0.276696078015419,-0.514480408858603,0.0,0.0,0.318885305034423,0.0059205462058245
-1.0,-0.285281209279445,-0.50087260034904,0.0,0.0,0.343785339918127,0.0090602462524258
-0.140458821755787,-0.276874263400381,-0.217391304347826,0.0,0.0,0.76847509230508,0.0168826756975305
-0.140458821755787,-0.290415568758848,-0.23394495412844,,-1.0,0.874090261703775,0.0240238167012579
-0.140458821755787,-0.314520800950756,-0.221105527638191,,-1.0,0.918723705104937,0.0253054907759475
-0.140458821755787,-0.361455052388974,-0.209183673469388,,-1.0,0.961560940617096,0.0264998103458048
-0.140458821755787,-0.361455052388974,-0.211340206185567,,-1.0,1.0,0.0278189875148864
1.0,1.0,1.0,,-1.0,1.0,0.0291008931169775
-0.859541188188679,-0.806784234919674,-0.941176470588235,,0.0,1.0,0.0307567933061653
-0.859541188188679,-0.799428273022298,-0.940860215053763,,-0.876543209876543,0.975567572877035,0.0325674485743132
-0.859541188188679,-0.761831357563517,-0.940540540540541,,-0.876543209876543,0.973254474026939,0.0325603460463666
-0.859541188188679,-0.72885518587283,-0.940217391304348,,-0.876543209876543,0.948426087000033,0.0344318358188095
