street_id,cluster_id_version_a,cluster_id_version_b,is_conflict
14651,2,4,True
14670,4,2,True
14743,13,12,True
14745,10,12,True
14773,10,12,True
14774,-1,10,True
14775,14,10,True
14776,10,12,True
14777,2,4,True
14778,2,4,True
14779,2,4,True
14780,2,4,True
14781,2,4,True
14782,2,4,True
14783,2,4,True
14784,2,4,True
14785,2,4,True
14786,2,4,True
14787,2,4,True
14788,2,4,True
14789,2,4,True
14790,2,4,True
14791,2,4,True
14792,2,4,True
14793,2,4,True
14794,2,4,True
14795,2,4,True
14796,2,4,True
14797,2,4,True
14798,2,4,True
14799,2,4,True
14800,2,4,True
14801,2,4,True
14802,2,4,True
14803,2,4,True
14804,2,4,True
14805,2,4,True
14806,2,4,True
14807,2,4,True
14808,2,4,True
14809,2,4,True
14810,2,4,True
14811,2,4,True
14812,2,4,True
14813,2,4,True
14814,2,4,True
14846,4,2,True
14863,4,2,True
14903,12,11,True
14904,10,12,True
14905,-1,10,True
14906,10,12,True
14978,10,12,True
14979,-1,10,True
15011,13,12,True
15012,-1,10,True
15013,10,12,True
15014,13,10,True
15015,13,12,True
15016,12,11,True
15017,-1,11,True
15018,4,2,True
15089,13,10,True
15090,-1,12,True
15091,14,10,True
15092,10,12,True
15151,13,10,True
15152,12,11,True
15153,4,2,True
15154,4,2,True
15155,4,2,True
15237,10,12,True
15238,14,10,True
15239,10,12,True
15240,13,12,True
15241,13,11,True
15242,13,11,True
15243,14,10,True
15322,10,12,True
15323,10,12,True
15324,10,12,True
15325,12,11,True
15327,4,2,True
15517,13,10,True
15519,-1,10,True
15520,-1,10,True
15521,14,10,True
15522,13,11,True
15523,4,2,True
15526,13,10,True
15527,13,11,True
15528,10,12,True
15529,-1,10,True
15530,14,10,True
15565,4,2,True
15636,4,2,True
15690,10,12,True
15691,12,11,True
15692,14,10,True
15693,4,2,True
15743,12,11,True
15744,13,10,True
15746,13,11,True
15747,13,10,True
15748,12,11,True
15749,-1,10,True
15751,14,10,True
15752,4,2,True
15761,4,2,True
15763,-1,10,True
15764,10,12,True
15765,12,11,True
15767,13,12,True
15768,14,10,True
15769,13,11,True
15770,12,11,True
15771,-1,10,True
15772,13,11,True
15776,4,2,True
15777,4,2,True
15861,2,4,True
15862,2,4,True
15866,4,2,True
15977,13,10,True
15978,10,12,True
15980,10,12,True
15981,4,2,True
15982,10,12,True
15983,10,12,True
15984,-1,10,True
15985,10,12,True
15986,4,2,True
15987,4,2,True
15988,10,12,True
15989,13,12,True
15990,14,10,True
15991,13,11,True
15992,4,2,True
15993,4,2,True
16038,10,12,True
16109,4,2,True
16110,2,4,True
16111,2,4,True
16112,4,2,True
16113,4,2,True
16114,4,2,True
16116,13,12,True
16119,4,2,True
16241,13,11,True
16242,12,11,True
16244,13,10,True
16245,-1,10,True
16246,13,10,True
16247,13,12,True
16248,10,12,True
16390,4,2,True
16391,14,10,True
16392,10,12,True
16394,-1,10,True
16395,10,12,True
16396,12,11,True
16397,12,11,True
16398,14,10,True
16399,-1,12,True
16400,10,12,True
16401,12,11,True
16402,10,12,True
16403,4,2,True
16477,13,11,True
16491,13,10,True
16492,14,10,True
16498,13,10,True
16499,-1,10,True
16500,-1,10,True
16504,4,2,True
16570,4,2,True
16572,4,2,True
16573,13,12,True
16574,13,12,True
16575,13,12,True
16576,14,10,True
16577,13,12,True
16581,4,2,True
16583,4,2,True
16600,2,4,True
16601,2,4,True
16602,2,4,True
16603,2,4,True
16604,2,4,True
16605,2,4,True
16606,2,4,True
16607,2,4,True
16608,2,4,True
16609,2,4,True
16610,2,4,True
16611,2,4,True
16612,2,4,True
16613,2,4,True
16614,2,4,True
16615,2,4,True
16616,2,4,True
16617,2,4,True
16618,2,4,True
16619,2,4,True
16620,2,4,True
16621,2,4,True
16622,2,4,True
16623,2,4,True
16624,2,4,True
16625,2,4,True
16626,2,4,True
16627,2,4,True
16628,2,4,True
16629,2,4,True
16630,2,4,True
16664,10,12,True
16666,10,12,True
16667,4,2,True
16670,4,2,True
16795,14,10,True
16796,13,10,True
16797,13,11,True
16798,4,2,True
16813,4,2,True
16814,10,12,True
